ra,dec,mjd,mag_auto,filter,exposure
190.65120689536738,-26.73355106005184,57096.34642048227,21.123098,i,c4d_150315_082514_ooi_i_v1
190.65239171555007,-26.728193054382622,57096.34642048227,20.7879,i,c4d_150315_082514_ooi_i_v1
190.6523647670124,-26.732654226796388,57096.34642048227,20.36121,i,c4d_150315_082514_ooi_i_v1
190.65326044222402,-26.733553847918497,57096.34642048227,21.019659,i,c4d_150315_082514_ooi_i_v1
190.65326648599398,-26.733532153942484,57096.35062624188,20.51365,z,c4d_150315_083119_ooi_z_ls9
190.651200459469,-26.733537249768435,57096.35062624188,20.89593,z,c4d_150315_083119_ooi_z_ls9
190.66869277674763,-26.72685701861335,57096.35062624188,20.966215,z,c4d_150315_083119_ooi_z_ls9
190.66120093611787,-26.733477566486407,57096.35062624188,20.690132,z,c4d_150315_083119_ooi_z_ls9
190.6593546665522,-26.70982628811595,57096.35062624188,20.343088,z,c4d_150315_083119_ooi_z_ls9
190.6574387676136,-26.719473561600882,57096.35062624188,20.65657,z,c4d_150315_083119_ooi_z_ls9
190.67096240957716,-26.729281888272528,57096.35062624188,20.825335,z,c4d_150315_083119_ooi_z_ls9
190.6782272630512,-26.728782312379018,57096.35062624188,20.664206,z,c4d_150315_083119_ooi_z_ls9
190.6552609563442,-26.727026448396156,57096.35062624188,20.6618,z,c4d_150315_083119_ooi_z_ls9
190.6709656159099,-26.729291156192236,57096.354804749135,20.846186,z,c4d_150315_083718_ooi_z_ls9
190.65123092708245,-26.733552598883414,57096.354804749135,21.072176,z,c4d_150315_083718_ooi_z_ls9
190.65327187323194,-26.733534187109186,57096.354804749135,20.492985,z,c4d_150315_083718_ooi_z_ls9
190.6552642503714,-26.72703182090948,57096.354804749135,20.76321,z,c4d_150315_083718_ooi_z_ls9
190.65742684949404,-26.71947381484367,57096.354804749135,20.670073,z,c4d_150315_083718_ooi_z_ls9
190.65935246748438,-26.709826255140094,57096.354804749135,20.370039,z,c4d_150315_083718_ooi_z_ls9
190.6611937193349,-26.733486524966384,57096.354804749135,20.71403,z,c4d_150315_083718_ooi_z_ls9
190.66869899556806,-26.72684255403173,57096.354804749135,20.996576,z,c4d_150315_083718_ooi_z_ls9
190.67822157318525,-26.728776872711755,57096.354804749135,20.608807,z,c4d_150315_083718_ooi_z_ls9
190.65122524473622,-26.733567937190127,57096.35898090433,20.98894,z,c4d_150315_084321_ooi_z_ls9
190.65743347230324,-26.71947788769445,57096.35898090433,20.694708,z,c4d_150315_084321_ooi_z_ls9
190.65935341569443,-26.70981880463835,57096.35898090433,20.393236,z,c4d_150315_084321_ooi_z_ls9
190.6612038521475,-26.733485104173827,57096.35898090433,20.597315,z,c4d_150315_084321_ooi_z_ls9
190.66868877822387,-26.726847163548335,57096.35898090433,20.891367,z,c4d_150315_084321_ooi_z_ls9
190.67097302830294,-26.729271522744675,57096.35898090433,20.837442,z,c4d_150315_084321_ooi_z_ls9
190.6782369161719,-26.72878271754491,57096.35898090433,20.609634,z,c4d_150315_084321_ooi_z_ls9
190.65526089152027,-26.72702986511618,57096.35898090433,20.701681,z,c4d_150315_084321_ooi_z_ls9
190.65327944752457,-26.73353651244507,57096.35898090433,20.46517,z,c4d_150315_084321_ooi_z_ls9
190.65580295731664,-26.73100076900036,57098.31960727181,20.984985,g,c4d_150317_074134_ooi_g_ls9
190.65934174384103,-26.709840538559963,57098.31960727181,20.996841,g,c4d_150317_074134_ooi_g_ls9
190.65933580669105,-26.709824469179463,57098.32028814498,20.968653,g,c4d_150317_074303_ooi_g_ls9
190.65583867122123,-26.730997888815224,57098.32028814498,20.902254,g,c4d_150317_074303_ooi_g_ls9
190.65584606146848,-26.730981250657173,57098.32321765926,20.909777,g,c4d_150317_074718_ooi_g_ls9
190.6593445770685,-26.709839382857673,57098.32321765926,20.976366,g,c4d_150317_074718_ooi_g_ls9
190.65584005932268,-26.73099029814878,57098.327301138546,20.892832,g,c4d_150317_075636_ooi_g_ls9
190.66423119618358,-26.72476863687327,57098.327301138546,20.542536,g,c4d_150317_075636_ooi_g_ls9
190.6703148325994,-26.732576037305652,57098.327301138546,21.114666,g,c4d_150317_075636_ooi_g_ls9
190.65934518536906,-26.70982775549515,57098.327301138546,20.978998,g,c4d_150317_075636_ooi_g_ls9
190.65934729342712,-26.70982581788649,57098.33072328288,20.993242,g,c4d_150317_080132_ooi_g_ls9
190.65584329990162,-26.73099925790649,57098.33072328288,20.828161,g,c4d_150317_080132_ooi_g_ls9
190.65584315513763,-26.731006594325702,57098.33412920032,20.917204,g,c4d_150317_080629_ooi_g_ls9
