ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,parallax_over_error,ruwe,astrometric_excess_noise,astrometric_gof_al,phot_g_mean_mag,bp_rp,source_id,random_index
268.8995285039535,43.180821547988444,-0.3620412271539042,-3.8754550187597134,0.083292,0.083825,1.5748434243947922,0.075016,20.993355,1.022088,0,0.623164,17.733612,2.256973,1346180365615602816,1545106
271.28118929826564,46.72711273640516,-2.8166071949802682,-22.393037301827512,0.039212,0.03846,0.527016515717103,0.031878,16.532522,1.068848,0.131182,1.66729,15.845951,0.79286,2116555863380981120,1547651
269.536179181045,42.044835781797325,-5.663064675248072,-9.87906309027477,0.039962,0.039476,0.4345641365355549,0.033628,12.922695,0.976719,0,-0.57733,16.128237,0.787816,1345137513196893056,1599818
270.89886071790784,43.636143322037384,2.941354869064453,-6.696195538514383,0.057627,0.06802,0.9197971205759123,0.049775,18.478937,1.191567,0.236344,4.951154,16.852325,NaN,2114226758451712768,1601737
269.50944870774134,44.73108288027046,0.0473341232716226,4.916363220757685,0.062787,0.071906,0.3684996144365227,0.05717,6.445735,0.964189,0,-0.84308,17.128061,0.93401,1346566878312226432,1602800
272.8136484442846,46.0344061616591,1.3180993762481952,-7.591324651252602,0.01916,0.019587,0.7290282986213784,0.017326,42.078125,0.982549,0,-0.451601,14.873817,0.714547,2116276523003295104,1637759
272.5677231435167,44.95709440442845,-12.890950346333383,-14.469053703584201,0.017499,0.016707,2.1208567322953304,0.014164,149.73903,0.993723,0,-0.156663,14.588451,1.187782,2115762050344659584,1642678
271.6723489376009,42.09995150797851,-0.9690906101795252,-13.056990172914077,0.051009,0.052117,0.4055030972999537,0.043676,9.284347,0.936075,0,-1.745506,16.74731,0.901222,2113579249182696832,1655886
268.43358289222294,44.5434048793431,0.8077926097602919,-12.73890977409607,0.05199,0.058394,0.5094484412606931,0.042144,12.088223,1.026816,0,0.720757,16.722887,0.981573,1349461205233406976,1674345
272.9934303384612,47.17622151142075,0.9859185249976037,-0.6121447011168593,0.046415,0.047843,0.4837260510684221,0.038173,12.671891,0.994321,0,-0.119569,16.512306,0.867129,2122360258278835456,1679803
267.49573321327875,43.130184709188754,3.587800524754213,-1.2335003529708959,0.035069,0.041691,0.9665817075357512,0.031037,31.14268,1.017463,0.070411,0.521893,16.22843,1.097287,1346325604229443456,1749951
272.5105916339838,46.04157009917705,-0.6441915553541653,-7.25782316970344,0.097864,0.126426,0.5586296726309465,0.091986,6.072969,1.032769,0.120076,0.858342,18.118698,1.143473,2116194678106997120,1750926
272.42171664074436,43.732741404915984,-1.874855985758467,7.15917699451777,0.178645,0.173961,0.7676093188915312,0.138313,5.549789,0.973519,0,-0.715053,18.916574,2.254631,2115585235130321408,1771772
270.4377470532334,42.846683115657,5.874196832316896,-13.425391062625497,0.230049,0.190792,0.9695006984253917,0.17358,5.585319,0.937582,0,-1.577207,19.054178,2.198753,2113848075478396032,1881873
271.72709625015784,45.7150294914937,3.1257034769600804,4.965463770398609,0.195701,0.174915,0.9531237906584904,0.161571,5.899086,1.028241,0,0.705773,18.790337,2.113132,2116218416389475328,1887206
269.23812419872775,43.804587792585615,-2.325746420102269,6.858771648515768,0.108393,0.120641,0.8639841872280958,0.105286,8.206084,0.993397,0,-0.134076,18.115404,1.712372,1346447302126269568,1902276
272.91472619888197,45.696910621124054,1.9018062821678627,-3.5721123473199,0.040014,0.036731,0.4277567966925042,0.031134,13.739011,0.997412,0,-0.045148,16.141891,0.910655,2116174199702773504,1911121
272.27767435519945,44.278375388133966,-2.1106459156889903,3.903816948120185,0.152449,0.203852,1.2142536412584608,0.139023,8.734187,1.024102,0,0.648041,18.734772,2.612743,2115626466817818112,1932914
272.4547521525055,43.27364533611492,-7.7911633261302375,7.964986429866816,0.077887,0.077214,0.8240853914696763,0.065402,12.60024,0.929094,0,-1.887396,17.477573,1.574778,2114070967101279744,1968314
267.4933685757856,47.030626900092635,0.429110240945162,2.6304490445623205,0.110288,0.122827,0.5364362323488502,0.085915,6.243777,1.02478,0,0.683497,18.072212,1.384617,1362917608353643392,1995504
272.46087846669525,46.014596598178585,-4.174104440131097,11.447493622549693,0.184813,0.257672,1.287075634961453,0.185599,6.93472,1.071345,0.697774,1.72609,18.971739,2.340199,2116197147711715584,2022167
